goos: windows
goarch: amd64
pkg: github.com/zelr0x/chainyq/deque
cpu: 11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz
BenchmarkChurn/chainyq.Deque-12                    	122555877	         9.601 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque-12                    	124265757	         9.862 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque-12                    	121602452	         9.608 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Pooled-12             	121815019	         9.794 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Pooled-12             	122396424	         9.710 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Pooled-12             	121716926	         9.746 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Pooled-12             	123872936	         9.896 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Pooled-12             	122232178	         9.655 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Pooled-12             	123165804	         9.729 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Pooled-12             	120077449	         9.731 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Pooled-12             	123353132	         9.692 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Pooled-12             	100000000	        10.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Pooled-12             	121151128	         9.654 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Reserve-12            	122822522	         9.829 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Reserve-12            	122619144	        10.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Reserve-12            	125401558	         9.736 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Reserve-12            	124699059	         9.662 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Reserve-12            	124682850	         9.694 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Reserve-12            	124321746	         9.744 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Reserve-12            	124233697	         9.691 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Reserve-12            	124909232	         9.786 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Reserve-12            	120923589	         9.691 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Reserve-12            	124094562	         9.646 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Ensure-12             	123515192	         9.708 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Ensure-12             	125274769	         9.732 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Ensure-12             	123041688	         9.816 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Ensure-12             	100000000	        10.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Ensure-12             	95253970	        11.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Ensure-12             	124371444	         9.829 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Ensure-12             	122069641	         9.616 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Ensure-12             	125765241	        10.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Ensure-12             	122699725	         9.688 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.Deque_Ensure-12             	123264462	         9.754 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/edwingeng.Deque-12                  	100000000	        10.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/edwingeng.Deque-12                  	100000000	        10.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/edwingeng.Deque-12                  	100000000	        10.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/edwingeng.Deque-12                  	100000000	        10.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/edwingeng.Deque-12                  	100000000	        10.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/edwingeng.Deque-12                  	100000000	        10.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/edwingeng.Deque-12                  	100000000	        10.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/edwingeng.Deque-12                  	100000000	        10.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/edwingeng.Deque-12                  	100000000	        10.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/edwingeng.Deque-12                  	100000000	        10.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/gammazero.Deque-12                  	100000000	        10.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/gammazero.Deque-12                  	100000000	        10.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/gammazero.Deque-12                  	100000000	        10.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/gammazero.Deque-12                  	100000000	        10.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/gammazero.Deque-12                  	100000000	        10.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/gammazero.Deque-12                  	100000000	        10.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/gammazero.Deque-12                  	100000000	        10.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/gammazero.Deque-12                  	100000000	        10.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/gammazero.Deque-12                  	100000000	        11.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/gammazero.Deque-12                  	100000000	        10.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkChurn/chainyq.list.List-12                	64092976	        18.78 ns/op	      11 B/op	       0 allocs/op
BenchmarkChurn/chainyq.list.List-12                	61530256	        18.58 ns/op	      11 B/op	       0 allocs/op
BenchmarkChurn/chainyq.list.List-12                	63495758	        18.77 ns/op	      11 B/op	       0 allocs/op
BenchmarkChurn/chainyq.list.List-12                	55508784	        18.99 ns/op	      11 B/op	       0 allocs/op
BenchmarkChurn/chainyq.list.List-12                	63939300	        18.82 ns/op	      11 B/op	       0 allocs/op
BenchmarkChurn/chainyq.list.List-12                	64521679	        18.71 ns/op	      11 B/op	       0 allocs/op
BenchmarkChurn/chainyq.list.List-12                	64149853	        18.88 ns/op	      11 B/op	       0 allocs/op
BenchmarkChurn/chainyq.list.List-12                	62722467	        18.74 ns/op	      11 B/op	       0 allocs/op
BenchmarkChurn/chainyq.list.List-12                	65163560	        18.87 ns/op	      11 B/op	       0 allocs/op
